time,rotor angular position
0,0.233645
0.01,2.163938
0.02,7.585549
0.03,15.823121
0.04,26.087357
0.05,37.535809
0.06,49.331255
0.07,60.694187
0.08,70.946647
0.09,79.545472
0.1,86.103839
0.11,90.400869
0.12,92.379815
0.13,92.136031
0.14,89.896467
0.15,85.992779
0.16,80.83038
0.17,74.855759
0.18,68.524321
0.19,62.270714
0.2,56.483298
0.21,51.483973
0.22,47.514129
0.23,44.727036
0.24,43.186523
0.25,42.871456
0.26,43.685159
0.27,45.468717
0.28,48.016963
0.29,51.095858
0.3,54.460054
0.31,57.869492
0.32,61.104097
0.33,63.975802
0.34,66.3374
0.35,68.08798
0.36,69.174899
0.37,69.592527
0.38,69.378124
0.39,68.605406
0.4,67.376404
0.41,65.81232
0.42,64.044025
0.43,62.202861
0.44,60.412283
0.45,58.780796
0.46,57.39651
0.47,56.323508
0.48,55.600074
0.49,55.238724
0.5,55.22787
0.51,55.534846
0.52,56.109978
0.53,56.89135
0.54,57.809885
0.55,58.794401
0.56,59.776312
0.57,60.693725
0.58,61.494718
0.59,62.139677
0.6,62.602635
0.61,62.871613
0.62,62.948047
0.63,62.845423
0.64,62.587276
0.65,62.204742
0.66,61.733869
0.67,61.212861
0.68,60.679463
0.69,60.16861
0.7,59.710487
0.71,59.329069
0.72,59.041195
0.73,58.856181
0.74,58.775948
0.75,58.795603
0.76,58.904395
0.77,59.086957
0.78,59.324716
0.79,59.597371
0.8,59.884347
0.81,60.16612
0.82,60.425352
0.83,60.647782
0.84,60.822836
0.85,60.943944
0.86,61.008575
0.87,61.018013
0.88,60.976913
0.89,60.892686
0.9,60.774766
0.91,60.633822
0.92,60.480965
0.93,60.327002
0.94,60.181783
0.95,60.053665
0.96,59.949129
0.97,59.872548
0.98,59.826106
0.99,59.809876
1,59.822008
1.01,59.859037
1.02,59.91625
1.03,59.988105
1.04,60.068661
1.05,60.151993
1.06,60.232562
1.07,60.305532
1.08,60.367009
1.09,60.414195
1.1,60.445465
1.11,60.460354
1.12,60.459478
1.13,60.444394
1.14,60.417407
1.15,60.381359
1.16,60.339393
1.17,60.294729
1.18,60.250449
1.19,60.209319
1.2,60.173643
1.21,60.145159
1.22,60.124986
1.23,60.113609
1.24,60.110911
1.25,60.116238
1.26,60.128487
1.27,60.146226
1.28,60.16781
1.29,60.191506
1.3,60.215613
1.31,60.238568
1.32,60.259027
1.33,60.275932
1.34,60.288553
1.35,60.296498
1.36,60.299708
1.37,60.298433
1.38,60.293178
1.39,60.284656
1.4,60.273717
1.41,60.261283
1.42,60.248282
1.43,60.235593
1.44,60.223988
1.45,60.214098
1.46,60.206387
1.47,60.201134
1.48,60.198439
1.49,60.198228
1.5,60.200279
1.51,60.204246
1.52,60.209696
1.53,60.216143
1.54,60.223085
1.55,60.230034
1.56,60.23655
1.57,60.242262
1.58,60.246885
1.59,60.250231
1.6,60.252208
1.61,60.252823
1.62,60.252165
1.63,60.250398
1.64,60.247738
1.65,60.24444
1.66,60.240773
1.67,60.237003
1.68,60.23338
1.69,60.230118
1.7,60.22739
1.71,60.225317
1.72,60.223969
1.73,60.223361
1.74,60.223462
1.75,60.224198
1.76,60.225461
1.77,60.227122
1.78,60.229038
1.79,60.231064
1.8,60.233059
1.81,60.234902
1.82,60.23649
1.83,60.237747
1.84,60.238625
1.85,60.239104
1.86,60.239191
1.87,60.23892
1.88,60.23834
1.89,60.237519
1.9,60.23653
1.91,60.235453
1.92,60.234364
1.93,60.233333
1.94,60.23242
1.95,60.231672
1.96,60.231119
1.97,60.230779
1.98,60.230652
1.99,60.230727
2,60.23098
