Time,Input,Output
0.001165,1,1.250376
0.00117,1,1.254518
0.001175,1,1.258539
0.00118,1,1.262428
0.001185,1,1.266171
0.00119,1,1.269758
0.001195,1,1.27318
0.0012,1,1.276426
0.001205,1,1.279488
0.00121,1,1.28236
0.001215,1,1.285034
0.00122,1,1.287506
0.001225,1,1.289769
0.00123,1,1.291822
0.001235,1,1.293661
0.00124,1,1.295284
0.001245,1,1.29669
0.00125,1,1.297879
0.001255,1,1.298852
0.00126,1,1.299611
0.001265,1,1.300157
0.00127,1,1.300494
0.001275,1,1.300627
0.00128,1,1.300558
0.001285,1,1.300294
0.00129,1,1.299841
0.001295,1,1.299205
0.0013,1,1.298393
0.001305,1,1.297412
0.00131,1,1.296271
0.001315,1,1.294978
0.00132,1,1.293542
0.001325,1,1.291971
0.00133,1,1.290276
0.001335,1,1.288467
0.00134,1,1.286552
0.001345,1,1.284542
0.00135,1,1.282447
0.001355,1,1.280278
0.00136,1,1.278045
0.001365,1,1.275758
0.00137,1,1.273427
0.001375,1,1.271063
0.00138,1,1.268676
0.001385,1,1.266275
0.00139,1,1.26387
0.001395,1,1.261471
0.0014,1,1.259086
0.001405,1,1.256725
0.00141,1,1.254397
0.001415,1,1.25211
0.00142,1,1.24987
0.001425,1,1.247687
0.00143,1,1.245568
0.001435,1,1.243518
0.00144,1,1.241544
0.001445,1,1.239652
0.00145,1,1.237848
0.001455,1,1.236135
0.00146,1,1.234519
0.001465,1,1.233004
0.00147,1,1.231592
0.001475,1,1.230288
0.00148,1,1.229092
0.001485,1,1.228008
0.00149,1,1.227036
0.001495,1,1.226178
0.0015,1,1.225434
0.001505,1,1.224804
0.00151,1,1.224288
0.001515,1,1.223885
0.00152,1,1.223594
0.001525,1,1.223412
0.00153,1,1.22334
0.001535,1,1.223372
0.00154,1,1.223508
0.001545,1,1.223744
0.00155,1,1.224076
0.001555,1,1.224501
0.00156,1,1.225014
0.001565,1,1.225613
0.00157,1,1.226291
0.001575,1,1.227045
0.00158,1,1.22787
0.001585,1,1.228761
0.00159,1,1.229712
0.001595,1,1.230719
0.0016,1,1.231776
0.001605,1,1.232878
0.00161,1,1.234019
0.001615,1,1.235194
0.00162,1,1.236397
0.001625,1,1.237624
0.00163,1,1.238869
0.001635,1,1.240126
0.00164,1,1.24139
0.001645,1,1.242657
0.00165,1,1.24392
0.001655,1,1.245176
0.00166,1,1.24642
0.001665,1,1.247647
0.00167,1,1.248852
0.001675,1,1.250032
0.00168,1,1.251183
0.001685,1,1.2523
0.00169,1,1.253381
0.001695,1,1.254421
0.0017,1,1.255419
0.001705,1,1.256371
0.00171,1,1.257274
0.001715,1,1.258127
0.00172,1,1.258927
0.001725,1,1.259672
0.00173,1,1.260361
0.001735,1,1.260992
0.00174,1,1.261565
0.001745,1,1.262078
0.00175,1,1.262532
0.001755,1,1.262926
0.00176,1,1.263259
0.001765,1,1.263533
0.00177,1,1.263747
0.001775,1,1.263902
0.00178,1,1.263999
0.001785,1,1.26404
0.00179,1,1.264024
0.001795,1,1.263954
0.0018,1,1.263832
0.001805,1,1.263658
0.00181,1,1.263436
0.001815,1,1.263167
0.00182,1,1.262853
0.001825,1,1.262497
0.00183,1,1.262101
0.001835,1,1.261668
0.00184,1,1.2612
0.001845,1,1.2607
0.00185,1,1.260171
0.001855,1,1.259615
0.00186,1,1.259035
0.001865,1,1.258435
0.00187,1,1.257817
0.001875,1,1.257183
0.00188,1,1.256538
0.001885,1,1.255882
0.00189,1,1.255221
0.001895,1,1.254555
0.0019,1,1.253888
0.001905,1,1.253222
0.00191,1,1.252561
0.001915,1,1.251906
0.00192,1,1.251259
0.001925,1,1.250624
0.00193,1,1.250002
0.001935,1,1.249396
0.00194,1,1.248807
0.001945,1,1.248237
0.00195,1,1.247688
0.001955,1,1.247162
0.00196,1,1.24666
0.001965,1,1.246184
0.00197,1,1.245734
0.001975,1,1.245312
0.00198,1,1.244918
0.001985,1,1.244555
0.00199,1,1.244221
0.001995,1,1.243919
0.002,1,1.243647
0.002005,1,1.243407
0.00201,1,1.243199
0.002015,1,1.243022
0.00202,1,1.242877
0.002025,1,1.242764
0.00203,1,1.242681
0.002035,1,1.242629
0.00204,1,1.242607
0.002045,1,1.242614
0.00205,1,1.24265
0.002055,1,1.242714
0.00206,1,1.242804
0.002065,1,1.24292
0.00207,1,1.243061
0.002075,1,1.243226
